Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 12:13:29,37.9,1.794,1.006,1.014
2024-08-03 12:13:34,38.6,1.793,1.043,1.033
2024-08-03 12:13:38,38.5,1.792,0.994,1.000
2024-08-03 12:13:43,38.6,1.794,1.025,1.050
2024-08-03 12:13:47,38.8,1.794,1.025,0.998
2024-08-03 12:13:52,38.3,1.794,0.995,1.003
2024-08-03 12:13:56,38.0,1.794,1.036,1.025
2024-08-03 12:14:00,39.0,1.792,1.024,1.033
2024-08-03 12:14:05,38.4,1.794,1.010,1.019
2024-08-03 12:14:09,38.0,1.794,1.041,0.999
2024-08-03 12:14:14,38.5,1.794,1.034,1.025
2024-08-03 12:14:18,37.9,1.793,1.030,1.050
2024-08-03 12:14:22,38.8,1.793,1.014,1.028
2024-08-03 12:14:27,39.3,1.794,1.032,1.054
2024-08-03 12:14:31,38.4,1.794,1.002,1.017
2024-08-03 12:14:36,38.6,1.794,1.044,1.040
2024-08-03 12:14:40,38.4,1.794,1.010,1.024
2024-08-03 12:14:45,38.8,1.794,1.016,1.001
2024-08-03 12:14:49,38.4,1.795,1.035,1.023
2024-08-03 12:14:53,38.6,1.794,1.017,1.025
2024-08-03 12:14:58,39.1,1.794,1.002,1.016
2024-08-03 12:15:02,38.0,1.794,1.042,0.998
2024-08-03 12:15:07,38.6,1.793,1.045,1.025
2024-08-03 12:15:11,38.8,1.795,0.997,1.009
2024-08-03 12:15:16,38.3,1.794,1.024,1.031
2024-08-03 12:15:20,38.8,1.794,1.027,1.000
2024-08-03 12:15:24,38.6,1.794,0.994,1.003
2024-08-03 12:15:29,37.9,1.793,1.037,1.016
2024-08-03 12:15:33,38.6,1.793,1.050,1.047
2024-08-03 12:15:38,38.0,1.794,1.036,0.995
2024-08-03 12:15:42,38.5,1.795,1.000,1.009
2024-08-03 12:15:46,38.8,1.793,0.996,0.998
2024-08-03 12:15:51,38.6,1.794,1.036,1.044
2024-08-03 12:15:55,38.3,1.794,1.021,1.038
2024-08-03 12:16:00,38.1,1.794,1.023,1.001
2024-08-03 12:16:04,38.8,1.795,1.034,1.041
2024-08-03 12:16:09,38.3,1.794,1.009,1.016
2024-08-03 12:16:13,38.9,1.794,1.054,1.034
2024-08-03 12:16:17,38.6,1.793,1.020,1.036
2024-08-03 12:16:22,37.8,1.794,0.997,1.007
2024-08-03 12:16:26,39.0,1.795,1.011,1.025
2024-08-03 12:16:31,38.9,1.795,0.998,1.006
2024-08-03 12:16:35,38.5,1.794,1.049,1.043
2024-08-03 12:16:40,38.5,1.795,0.995,1.005
2024-08-03 12:16:44,38.5,1.793,0.994,1.006
2024-08-03 12:16:48,38.6,1.792,0.993,1.002
2024-08-03 12:16:53,38.4,1.794,1.043,1.043
2024-08-03 12:16:57,38.6,1.794,1.036,1.046
2024-08-03 12:17:02,38.9,1.796,1.044,1.020
2024-08-03 12:17:06,39.1,1.796,1.039,1.031
2024-08-03 12:17:11,39.4,1.794,1.042,0.999
2024-08-03 12:17:15,38.4,1.794,0.994,1.009
2024-08-03 12:17:19,39.0,1.794,1.027,1.037
2024-08-03 12:17:24,38.6,1.794,1.051,1.030
