Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:28:35,1648.3314895629883,30.0,130.0,86.0,0.0,171.0
2024-07-07_14:28:45,1657.786343574524,30.0,130.0,117.0,0.0,203.0
2024-07-07_14:28:54,1667.3590891361237,30.0,130.0,149.0,0.0,236.0
2024-07-07_14:29:04,1676.8416948318481,30.0,130.0,181.0,0.0,12.0
2024-07-07_14:29:13,1686.2456667423248,30.0,130.0,181.0,0.0,14.0
2024-07-07_14:29:23,1695.6189618110657,30.0,130.0,213.0,0.0,47.0
2024-07-07_14:29:32,1705.0411052703857,30.0,130.0,245.0,0.0,79.0
2024-07-07_14:29:41,1714.5289106369019,30.0,130.0,21.0,0.0,112.0
2024-07-07_14:29:51,1723.9353103637695,30.0,130.0,53.0,0.0,144.0
2024-07-07_14:30:00,1733.4462237358093,30.0,130.0,85.0,0.0,176.0
2024-07-07_14:30:10,1742.8876938819885,30.0,130.0,117.0,0.0,209.0
2024-07-07_14:30:19,1752.250262260437,30.0,130.0,139.0,0.0,245.0
2024-07-07_14:30:29,1761.669363975525,30.0,130.0,171.0,0.0,23.0
2024-07-07_14:30:38,1770.9965353012085,30.0,130.0,203.0,0.0,56.0
2024-07-07_14:30:47,1780.5014612674713,30.0,130.0,220.0,0.0,88.0
2024-07-07_14:30:57,1789.8805680274963,30.0,130.0,252.0,0.0,121.0
2024-07-07_14:31:06,1799.2924411296844,30.0,130.0,28.0,0.0,157.0
2024-07-07_14:31:16,1808.724603176117,30.0,130.0,60.0,0.0,185.0
2024-07-07_14:31:25,1818.3338572978973,30.0,130.0,92.0,0.0,218.0
2024-07-07_14:31:35,1827.899881362915,30.0,130.0,124.0,0.0,255.0
2024-07-07_14:31:44,1837.1884367465973,30.0,130.0,156.0,0.0,35.0
2024-07-07_14:31:54,1846.6537799835205,30.0,130.0,188.0,0.0,68.0
2024-07-07_14:32:03,1856.1012170314789,30.0,130.0,220.0,0.0,105.0
2024-07-07_14:32:13,1865.6291003227234,30.0,130.0,252.0,0.0,137.0
2024-07-07_14:32:22,1874.9586818218231,30.0,130.0,28.0,0.0,169.0
2024-07-07_14:32:31,1884.428096294403,30.0,130.0,60.0,0.0,202.0
2024-07-07_14:32:41,1893.901874780655,30.0,130.0,92.0,0.0,234.0
2024-07-07_14:32:50,1903.3326423168182,30.0,130.0,124.0,0.0,10.0
2024-07-07_14:33:00,1912.8136115074158,30.0,130.0,155.0,0.0,43.0
2024-07-07_14:33:09,1922.2612671852112,30.0,130.0,185.0,0.0,75.0
2024-07-07_14:33:19,1931.6092836856842,30.0,130.0,217.0,0.0,108.0
2024-07-07_14:33:28,1941.117192029953,30.0,130.0,249.0,0.0,142.0
2024-07-07_14:33:38,1950.5623669624329,30.0,130.0,24.0,0.0,175.0
2024-07-07_14:33:47,1960.087858915329,30.0,130.0,56.0,0.0,208.0
2024-07-07_14:33:56,1969.5527296066284,30.0,130.0,88.0,0.0,210.0
2024-07-07_14:34:06,1979.0773358345032,30.0,130.0,120.0,0.0,242.0
2024-07-07_14:34:15,1988.4526612758636,30.0,130.0,152.0,0.0,19.0
